Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA _TakeOn,SCA_Sh,SCA _FoulsDrawn,SCA_DefAct,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TakeOn,GCA_Shot,GCA_FoulsDrawn,GCA_DefAct
1,1,Max Aarons (Bournemouth),ENG,DF,Bournemouth,Premier League,23,2000,13.7,56,43,54,84,0,0,81,0,51,53,59,0,0,0,0,0
2,2,Brenden Aaronson (Union Berlin),USA,"MF,FW",Union Berlin,Bundesliga,22,2000,14.1,82,86,84,59,95,73,0,0,88,92,88,0,96,0,0,0
3,3,Paxten Aaronson (Eint Frankfurt),USA,MF,Eint Frankfurt,Bundesliga,19,2003,1.1,11,27,12,0,0,0,0,0,35,98,40,0,0,0,0,0
4,4,Keyliane Abdallah (Marseille),FRA,FW,Marseille,Ligue 1,17,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,Yunis Abdelhamid (Reims),MAR,DF,Reims,Ligue 1,35,1987,30.9,58,24,59,59,0,73,53,0,35,35,0,0,0,-80,0,0
6,6,Salis Abdul Samed (Lens),GHA,MF,Lens,Ligue 1,23,2000,16.9,61,41,70,0,0,0,0,0,61,58,70,0,0,0,0,0
7,7,Nabil Aberdin (Getafe),FRA,DF,Getafe,La Liga,20,2002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,Laurent Abergel (Lorient),FRA,MF,Lorient,Ligue 1,30,1993,31.8,93,66,95,81,70,43,71,100,77,55,70,0,87,0,0,96
9,9,Matthis Abline (Nantes),FRA,FW,Nantes,Ligue 1,20,2003,11.6,72,79,74,0,89,61,53,0,51,57,0,0,87,0,85,0
10,10,Abner (Betis),BRA,DF,Betis,La Liga,23,2000,15.6,44,27,49,0,0,43,0,0,0,0,0,0,0,0,0,0
11,11,Zakaria Aboukhlal (Toulouse),MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,52,61,43,0,70,73,81,88,51,67,0,0,0,-80,85,0
12,12,Abdel Abqar (Alavés),MAR,DF,Alavés,La Liga,24,1999,25.7,40,17,41,0,0,61,53,0,0,0,0,0,0,0,0,0
13,13,Tammy Abraham (Roma),ENG,FW,Roma,Serie A,25,1997,2.7,20,31,12,0,0,0,53,69,35,81,0,0,0,0,85,0
14,14,Francesco Acerbi (Inter),ITA,DF,Inter,Serie A,35,1988,26.5,55,25,59,0,0,73,0,0,35,37,40,0,0,0,0,0
15,15,Joshua Acheampong (Chelsea),ENG,DF,Chelsea,Premier League,17,2006,0.1,11,100,0,59,0,0,0,0,0,0,0,0,0,0,0,0
16,16,Marcos Acuña (Sevilla),ARG,DF,Sevilla,La Liga,31,1991,14.4,80,82,72,95,79,0,71,69,71,72,40,98,0,0,0,0
17,17,Bénie Adama Traore (Sheffield Utd),CIV,"FW,MF",Sheffield Utd,Premier League,20,2002,4.3,28,36,33,0,0,0,0,0,35,65,40,0,0,0,0,0
18,18,Bénie Adama Traore (Nantes),CIV,"FW,MF",Nantes,Ligue 1,20,2002,5.6,46,68,49,59,0,43,0,0,35,58,40,0,0,0,0,0
19,19,Akor Adams (Montpellier),NGA,FW,Montpellier,Ligue 1,23,2000,25,76,44,73,0,89,96,53,0,61,49,0,0,96,-80,0,0
20,20,Tyler Adams (Bournemouth),USA,MF,Bournemouth,Premier League,24,1999,1.3,20,58,19,59,0,0,0,0,0,0,0,0,0,0,0,0
21,21,Junior Adamu (Freiburg),AUT,"FW,MF",Freiburg,Bundesliga,22,2001,1.2,16,44,12,0,0,0,53,0,0,0,0,0,0,0,0,0
22,22,Sargis Adamyan (Köln),ARM,"FW,MF",Köln,Bundesliga,30,1993,8.9,65,83,63,0,53,43,94,69,61,78,40,0,0,-80,85,0
23,23,Tosin Adarabioyo (Fulham),ENG,DF,Fulham,Premier League,25,1997,18,38,19,33,0,0,81,0,0,0,0,0,0,0,0,0,0
24,24,Elijah Adebayo (Luton Town),ENG,FW,Luton Town,Premier League,25,1998,15.8,65,50,59,0,89,87,71,0,77,77,59,0,0,-99,0,0
25,25,Karim Adeyemi (Dortmund),GER,"FW,MF",Dortmund,Bundesliga,21,2002,10.1,59,63,49,59,79,61,94,0,51,61,59,0,0,0,0,0
26,26,Simon Adingra (Brighton),CIV,FW,Brighton,Premier League,21,2002,24.7,92,77,90,59,99,94,81,88,71,55,70,0,0,0,0,96
27,27,Nathaniel Adjei (Lorient),GHA,DF,Lorient,Ligue 1,20,2002,13.8,39,24,38,0,0,0,53,88,0,0,0,0,0,0,0,0
28,28,Amine Adli (Leverkusen),MAR,"MF,FW",Leverkusen,Bundesliga,23,2000,10,82,95,82,0,92,73,87,0,90,98,85,0,96,-80,85,0
